StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
WA,242,Moore,999,Informal,Informal,999,N,N,,Informal,2480,209,11,89,102,2891,-1.14
WA,243,O'Connor,28941,WILSON,Rick,1,Y,Y,LP,Liberal,30920,2214,96,1298,2564,37092,4.21
WA,243,O'Connor,29412,HASSELL,John,2,N,N,NP,The Nationals,13308,845,30,442,1311,15936,-5.53
WA,243,O'Connor,28943,YOUNG,Trevor,3,N,N,AUC,Australian Christians,2998,176,5,75,242,3496,1.54
WA,243,O'Connor,28934,FORD,Jon,4,N,N,ALP,Australian Labor Party,15421,1124,59,636,950,18190,1.4
WA,243,O'Connor,28417,CARSON,Stephen,5,N,N,RUA,Rise Up Australia Party,2666,187,20,128,206,3207,2.96
WA,243,O'Connor,28315,WATSON,Giz,6,N,N,GRN,The Greens (WA),7556,612,30,321,494,9013,3.58
WA,243,O'Connor,999,Informal,Informal,999,N,N,,Informal,3069,191,13,76,90,3439,-2.12
WA,244,Pearce,28700,PORTER,Christian,1,Y,Y,LP,Liberal,31235,3177,225,1517,3397,39551,-1.65
WA,244,Pearce,28681,FRENCH,Thomas,2,N,N,ALP,Australian Labor Party,23915,2618,193,1066,2017,29809,8.08
WA,244,Pearce,28301,MILES,Lee-Anne,3,N,N,GRN,The Greens (WA),7214,1123,73,380,753,9543,1.13
WA,244,Pearce,29185,SIMMONDS,Maddison,4,N,N,NP,The Nationals,3218,347,18,160,337,4080,0.14
WA,244,Pearce,28410,SAMURIWO-VUNTARDE,Taffy,5,N,N,RUA,Rise Up Australia Party,3116,334,23,159,417,4049,3.72
WA,244,Pearce,999,Informal,Informal,999,N,N,,Informal,3424,425,40,121,140,4150,-1.18
WA,245,Perth,28755,QUINN,Jeremy,1,N,N,LP,Liberal,28170,2281,169,1494,3267,35381,0.2
WA,245,Perth,28302,CLIFFORD,Tim,2,N,N,GRN,The Greens (WA),11086,1283,136,804,963,14272,5.1
WA,245,Perth,28724,HAMMOND,Tim,3,Y,N,ALP,Australian Labor Party,25557,1970,215,1017,2489,31248,-1.02
WA,245,Perth,28021,CHAMBERS,Andrew David,4,N,N,SOL,Online Direct Democracy - (Empowering the People!),930,110,7,80,173,1300,1.55
WA,245,Perth,28703,WALMSLEY,Mark Robert,5,N,N,LDP,Liberal Democrats,1057,168,11,77,117,1430,1.71
WA,245,Perth,999,Informal,Informal,999,N,N,,Informal,2771,279,26,98,100,3274,-1.12
WA,246,Stirling,24951,MUBARAK,Kim,1,N,N,IND,Independent,1643,225,22,99,183,2172,1.63
WA,246,Stirling,28412,ROWE,Alison L,2,N,N,RUA,Rise Up Australia Party,986,139,16,59,161,1361,1.05
WA,246,Stirling,28758,KEENAN,Michael,3,Y,Y,LP,Liberal,32624,2624,196,1535,4012,40991,-1.27
WA,246,Stirling,28838,HOST,Kevin,4,N,N,AUC,Australian Christians,1619,160,14,54,172,2019,0.34
WA,246,Stirling,28307,WEBSTER,Tom,5,N,N,GRN,The Greens (WA),7329,1098,55,469,728,9679,0.79
WA,246,Stirling,28731,PEARSON,Robert,6,N,N,ALP,Australian Labor Party,21552,1946,211,741,2219,26669,2.4
WA,246,Stirling,999,Informal,Informal,999,N,N,,Informal,3048,294,31,81,133,3587,-1.62
WA,247,Swan,28312,NIELSEN-HARVEY,Sarah,1,N,N,GRN,The Greens (WA),8988,1356,95,910,878,12227,3.79
WA,247,Swan,28840,KLOMP,Steve,2,N,N,AUC,Australian Christians,2310,279,16,198,283,3086,2.06
WA,247,Swan,28739,SOLONEC,Tammy,3,N,N,ALP,Australian Labor Party,21149,1986,160,1553,2021,26869,2.97
WA,247,Swan,28766,IRONS,Steve,4,Y,Y,LP,Liberal,29719,2827,176,2783,3715,39220,-1.43
WA,247,Swan,999,Informal,Informal,999,N,N,,Informal,2524,253,28,145,112,3062,-1.96
WA,248,Tangney,23853,JENSEN,Dennis Geoffrey,1,N,Y,IND,Independent,7992,423,33,431,1045,9924,11.88
WA,248,Tangney,28847,WIESKE,John,2,N,N,AUC,Australian Christians,2248,159,7,134,271,2819,0.98
WA,248,Tangney,28314,KERR,Thor,3,N,N,GRN,The Greens (WA),8097,866,61,571,758,10353,1.4
WA,248,Tangney,28742,BOSWELL,Marion,4,N,N,ALP,Australian Labor Party,15825,1207,81,868,1698,19679,-1.82
WA,248,Tangney,28771,MORTON,Ben,5,Y,N,LP,Liberal,33262,2059,130,1853,3486,40790,-6.95
WA,248,Tangney,999,Informal,Informal,999,N,N,,Informal,1817,176,8,93,89,2183,-1.74
