StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
SA,186,Kingston,29576,RISHWORTH,Amanda,1,Y,Y,ALP,Australian Labor Party,53866,2980,326,1157,4287,62616,7.35
SA,186,Kingston,29566,BINNS,Kelvin,5,N,N,LP,Liberal,25850,1584,78,781,2482,30775,-7.35
SA,187,Makin,29058,ZAPPIA,Tony,1,Y,Y,ALP,Australian Labor Party,47731,3546,305,1075,3459,56116,4.59
SA,187,Makin,29557,REYNOLDS,Graham,6,N,N,LP,Liberal,32219,1984,135,861,2755,37954,-4.59
SA,188,Mayo,29142,SHARKIE,Rebekha,2,Y,N,XEN,Nick Xenophon Team,44027,2442,214,1519,4081,52283,54.97
SA,188,Mayo,29559,BRIGGS,Jamie,5,N,Y,LP,Liberal,35959,1764,132,1489,3489,42833,45.03
SA,189,Port Adelaide,29130,BUTLER,Mark,5,Y,Y,ALP,Australian Labor Party,52740,3924,526,950,4134,62274,64.86
SA,189,Port Adelaide,29166,SLATTERY,Michael,7,N,N,XEN,Nick Xenophon Team,27510,2362,218,690,2955,33735,35.14
SA,190,Sturt,29052,LOADER,Matt,5,N,N,ALP,Australian Labor Party,33758,2753,181,861,3481,41034,4.19
SA,190,Sturt,29562,PYNE,Christopher,6,Y,Y,LP,Liberal,43056,2613,192,964,5173,51998,-4.19
SA,191,Wakefield,29101,CHAMPION,Nick,3,Y,Y,ALP,Australian Labor Party,49928,3260,434,1072,3800,58494,7.57
SA,191,Wakefield,29549,BOURNE,Kathleen,4,N,N,LP,Liberal,31359,1858,185,1018,3019,37439,-7.57
TAS,192,Bass,28451,HART,Ross,3,Y,N,ALP,Australian Labor Party,32599,1016,134,824,2546,37119,10.13
TAS,192,Bass,28429,NIKOLIC,Andrew,5,N,Y,LP,Liberal,24748,773,78,952,2505,29056,-10.13
TAS,193,Braddon,28439,KEAY,Justine,3,Y,N,ALP,Australian Labor Party,30123,650,102,837,2047,33759,4.76
TAS,193,Braddon,28422,WHITELEY,Brett,4,N,Y,LP,Liberal,27022,598,61,969,2263,30913,-4.76
TAS,194,Denison,28443,AUSTIN,Jane,3,N,N,ALP,Australian Labor Party,17968,1055,92,663,1700,21478,-2.27
TAS,194,Denison,20881,WILKIE,Andrew,5,Y,Y,IND,Independent,37824,1714,180,1495,3963,45176,2.27
TAS,195,Franklin,28424,MARKHAM,Amanda-Sue,3,N,N,LP,Liberal,23020,1083,88,886,2266,27343,-5.63
TAS,195,Franklin,28441,COLLINS,Julie,4,Y,Y,ALP,Australian Labor Party,36037,1979,162,1065,3021,42264,5.63
TAS,196,Lyons,28438,HUTCHINSON,Eric,1,N,Y,LP,Liberal,26074,1738,77,1792,2996,32677,-3.53
TAS,196,Lyons,28449,MITCHELL,Brian,6,Y,N,ALP,Australian Labor Party,28873,2155,132,1642,3036,35838,3.53
VIC,197,Aston,28875,TUDGE,Alan,6,Y,Y,LP,Liberal,40256,1806,147,1798,6135,50142,0.39
VIC,197,Aston,28293,KLISARIS,Paul,7,N,N,ALP,Australian Labor Party,29021,1796,135,1199,3293,35444,-0.39
VIC,198,Ballarat,28317,KING,Catherine,3,Y,Y,ALP,Australian Labor Party,46935,1995,466,1740,4866,56002,2.43
VIC,198,Ballarat,29007,WADE,Sarah,8,N,N,LP,Liberal,35517,1240,263,1263,3422,41705,-2.43
VIC,199,Batman,28124,BHATHAL,Alex,4,N,N,GRN,The Greens,34366,2946,133,2725,3954,44124,9.58
VIC,199,Batman,28241,FEENEY,David,8,Y,Y,ALP,Australian Labor Party,36506,2250,174,1949,5098,45977,-9.58
VIC,200,Bendigo,28244,CHESTERS,Lisa,4,Y,Y,ALP,Australian Labor Party,43845,1854,154,1976,4569,52398,2.48
