District,Candidate,Party,Votes
Gippsland East,"NIXON, Chris",Nationals,14458
Gippsland South,"BOYCE, Steve",ALP,11393
Gippsland South,"RYAN, Peter",Nationals,21932
Gippsland South,"BOYCE, Steve",ALP,11454
Gippsland South,"RYAN, Peter",Nationals,21973
Hastings,"BUCHANAN, Rosy",ALP,17737
Hastings,"BURGESS, Neale",Liberal,18454
Hastings,"BUCHANAN, Rosy",ALP,17761
Hastings,"BURGESS, Neale",Liberal,18476
Hawthorn,"BAILLIEU, Ted",Liberal,20941
Hawthorn,"McNALLY, John",ALP,12694
Ivanhoe,"LANGDON, Craig",ALP,19918
Ivanhoe,"GRATTON, Maxwell",Liberal,13034
Ivanhoe,"LANGDON, Craig",ALP,19418
Ivanhoe,"GRATTON, Maxwell",Liberal,13565
Keilor,"SEITZ, George",ALP,28107
Keilor,"CLIFFORD, John",Liberal,12385
Kew,"WILLIAMS, Maree",ALP,12990
Kew,"McINTOSH, Andrew",Liberal,19131
Kilsyth,"BEARD, Dympna",ALP,17183
Kilsyth,"HODGETT, David",Liberal,17428
Kilsyth,"BEARD, Dympna",ALP,17222
Kilsyth,"HODGETT, David",Liberal,17407
Kororoit,"HAERMEYER, Andre",ALP,24482
Kororoit,"ALEXANDER, Mick",Liberal,7920
Lara,"EREN, John",ALP,22268
Lara,"KAKOUROS, Angelo",Liberal,10514
Lowan,"DELAHUNTY, Hugh",Nationals,17786
Lowan,"BATTISTA, Paul",ALP,8795
Lowan,"RAINSFORD, Katrina",Liberal,8295
Lowan,"DELAHUNTY, Hugh",Nationals,25169
Lowan,"BATTISTA, Paul",ALP,9748
Lyndhurst,"HOLDING, Tim",ALP,22642
Lyndhurst,"ANDERTON, Gary",Liberal,9034
Macedon,"HEAD, Robyne",Liberal,16290
Macedon,"DUNCAN, Joanne",ALP,22649
Macedon,"HEAD, Robyne",Liberal,16338
Macedon,"DUNCAN, Joanne",ALP,22717
Malvern,"VOUT, Paul",ALP,12180
Malvern,"O'BRIEN, Michael",Liberal,19313
Melbourne,"DI NATALE, Richard",Greens,15238
Melbourne,"PIKE, Bronwyn",ALP,16512
